District,Population
Bhaktapur,"432,132"
Dhading,"325,710"
Kathmandu,"2,041,587"
Kavrepalanchok,
Lalitpur,
Nuwakot,
Rasuwa,
Sindhupalchok,
Dhanusa,
Dolakha,
Mahottari,
Ramechhap,
Sarlahi,
Sindhuli,
Bara,
Chitawan,
Makwanpur,
Parsa,
Rautahat,
Bhojpur,
Dhankuta,
Morang,
Sankhuwasabha,
Sunsari,
Terhathum,
Ilam,
Jhapa,
Panchthar,
Taplejung,
Khotang,
Okhaldhunga,
Saptari,
Siraha,
Solukhumbu,
Udayapur,
Baitadi,
Dadeldhura,
Darchula,
Kanchanpur,
Achham,
Bajhang,
Bajura,
Doti,
Kailali,
Banke,
Bardiya,
Dailekh,
Jajarkot,
Surkhet,
Dolpa,
Humla,
Jumla,
Kalikot,
Mugu,
Dang,
Pyuthan,
Rolpa,
Rukum,
Salyan,
Baglung,
Mustang,
Myagdi,
Parbat,
Gorkha,
Kaski,
Lamjung,
Manang,
Syangja,
Tanahu,
Arghakhanchi,
Gulmi,
Kapilbastu,
Nawalparasi,
Palpa,
Rupandehi,
